family	group	width	height	cost_multiplier	stat_multiplier	mask	roles	functions
infra/gate	0	2	7	10	10	11/11/11/11/11/11/11	pp/pp/pp/pp/pp/pp/pp	pp/pp/pp/pp/pp/pp/pp
infra/hauler	0	1	2	1	1	1/1	b/p	p/d
infra/hauler	0	2	2	2	2	11/11	bb/pp	pp/dd
infra/hauler	0	3	3	4	4	111/111/111	bpb/pbp/bpb	pdp/dpd/pdp
infra/hauler	0	5	3	11	11	11111/11111/11111	bpppb/ppbpp/bpppb	pdddp/ddpdd/pdddp
infra/hauler	0	5	5	20	20	11111/11111/11111/11111/11111	bpppb/ppppp/ppbpp/ppppp/bpppb	pdddp/ddddd/ddpdd/ddddd/pdddp
infra/hauler	0	7	7	44	44	1111111/1111111/1111111/1111111/1111111/1111111/1111111	bpppppb/ppppppp/ppppppp/pppbppp/ppppppp/ppppppp/bpppppb	pdddddp/ddddddd/ddddddd/dddpddd/ddddddd/ddddddd/pdddddp
infra/importt	0	5	5	5	4	11111/11111/11111/11111/11111	ppppp/pxxbp/ppppp/pxxbp/ppppp	ppppp/ppppp/ppppp/ppppp/ppppp
infra/importt	0	6	5	6	6	111111/111111/111111/111111/111111	pppppp/pxxxbp/pppppp/pxxxbp/pppppp	pppppp/pppppp/pppppp/pppppp/pppppp
infra/importt	0	7	5	8	8	1111111/1111111/1111111/1111111/1111111	ppppppp/pxxxxbp/ppppppp/pxxxxbp/ppppppp	ppppppp/ppppppp/ppppppp/ppppppp/ppppppp
infra/importt	0	8	5	10	10	11111111/11111111/11111111/11111111/11111111	pppppppp/pxxxxxbp/pppppppp/pxxxxxbp/pppppppp	pppppppp/pppppppp/pppppppp/pppppppp/pppppppp
infra/importt	0	9	5	12	12	111111111/111111111/111111111/111111111/111111111	ppppppppp/pxxxxxxbp/ppppppppp/pxxxxxxbp/ppppppppp	ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp
infra/importt	0	9	8	26	26	111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111	ppppppppp/pbxxxxxbp/ppppppppp/pxxxxxxxp/pxxxxxxxp/ppppppppp/pbxxxxxbp/ppppppppp	ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp
infra/importt	0	9	11	40	40	111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111	ppppppppp/pbxxxxxbp/ppppppppp/pxxxxxxxp/pxxxxxxxp/ppppppppp/pxxxxxxxp/pxxxxxxxp/ppppppppp/pbxxxxxbp/ppppppppp	ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp
infra/inn	0	3	3	1	1	111/111/111	bbb/bpb/brb	ddd/ddd/dpd
infra/inn	0	6	3	2	2	111111/111111/111111	bbbbbb/bpbbpb/brbbrb	dddddd/dddddd/dpddpd
infra/inn	0	9	3	3	3	111111111/111111111/111111111	bbbbbbbbb/bpbbpbbpb/brbbrbbrb	ddddddddd/ddddddddd/dpddpddpd
infra/inn	0	12	3	4	4	111111111111/111111111111/111111111111	bbbbbbbbbbbb/bpbbpbbpbbpb/brbbrbbrbbrb	dddddddddddd/dddddddddddd/dpddpddpddpd
infra/inn	1	1	1	1	1	1	b	p
infra/inn	1	2	1	2	2	11	bb	pp
infra/inn	1	3	1	3	3	111	bbb	ppp
infra/inn	1	5	1	4	4	11111	bbbbb	ppppd
infra/inn	1	6	1	5	5	111111	bbbbbb	ppppdd
infra/inn	1	7	1	6	6	1111111	bbbbbbb	ppppddd
infra/inn	1	8	1	7	7	11111111	bbbbbbbb	ppppdddd
infra/janitor	0	5	1	1	1	11111	bxxxb	pdddp
infra/janitor	1	2	1	1	1	11	bb	pp
infra/janitor	1	3	1	1.5	1.5	111	bbb	ppp
infra/janitor	1	4	1	2	2	1111	bbbb	pppp
infra/monument/imp	0	1	1	1	1	1	p	p
infra/monument/imp	0	2	2	6	2	11/11	pp/pp	pp/pp
infra/monument/imp	0	3	3	12	4	111/111/111	ppp/ppp/ppp	ppp/ppp/ppp
infra/monument/torch	0	1	1	1	1	1	b	p
infra/monument/torch	0	2	2	4	4	11/11	bb/bb	pp/pp
infra/station	0	7	12	1	1	1111111/1111111/1111111/1111111/1111111/1111111/1111111/1111111/1111111/1111111/1111111/1111111	ppppppp/ppbbbpp/pbbbbbp/pbpbbbp/pbpbpbp/pbpbpbp/pbpbpbp/pbpbpbp/pbpbpbp/pbpbpbp/pbpbpbp/ppppppp	ppppppp/pdpppdp/ppppppp/ppppppp/ppppdpp/ppppdpp/ppppdpp/ppppdpp/ppppdpp/ppppdpp/ppppdpp/ppppppp
infra/station	0	8	12	1.15	1.15	11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111	pppppppp/ppbbbbpp/pbbbbbbp/pbbpbbbp/pbbpbpbp/pbbpbpbp/pbbpbpbp/pbbpbpbp/pbbpbpbp/pbbpbpbp/pbbpbpbp/pppppppp	pppppppp/pdppppdp/pppppppp/pppppppp/pppppdpp/pppppdpp/pppppdpp/pppppdpp/pppppdpp/pppppdpp/pppppdpp/pppppppp
infra/station	0	11	12	1.6	1.6	11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111	ppppppppppp/ppbbbbbbbpp/pbbbbbbbbbp/pbbpbbbpbbp/pbbpbpbpbbp/pbbpbpbpbbp/pbbpbpbpbbp/pbbpbpbpbbp/pbbpbpbpbbp/pbbpbpbpbbp/pbbpbpbpbbp/ppppppppppp	ppppppppppp/pdpppppppdp/ppppppppppp/ppppppppppp/pppppdppppp/pppppdppppp/pppppdppppp/pppppdppppp/pppppdppppp/pppppdppppp/pppppdppppp/ppppppppppp
infra/stockpile	0	2	1	2	1	11	xb	pp
infra/stockpile	0	3	1	3	2	111	xxb	ppp
infra/stockpile	0	4	1	4	3	1111	xxxb	pppp
infra/stockpile	0	5	1	5	4	11111	xxxxb	ppppp
infra/stockpile	0	6	1	6	5	111111	xxxxxb	pppppp
infra/stockpile	0	7	1	7	6	1111111	xxxxxxb	ppppppp
infra/stockpile	0	2	2	4	2	11/11	xx/bb	pp/pp
infra/stockpile	0	2	3	6	4	11/11/11	xx/xx/bb	pp/pp/pp
infra/stockpile	0	2	4	8	6	11/11/11/11	xx/xx/xx/bb	pp/pp/pp/pp
infra/stockpile	0	2	5	10	8	11/11/11/11/11	xx/xx/xx/xx/bb	pp/pp/pp/pp/pp
infra/stockpile	0	2	6	12	10	11/11/11/11/11/11	xx/xx/xx/xx/xx/bb	pp/pp/pp/pp/pp/pp
infra/stockpile	0	2	7	14	12	11/11/11/11/11/11/11	xx/xx/xx/xx/xx/xx/bb	pp/pp/pp/pp/pp/pp/pp
infra/transport	0	5	12	1	1	11111/11111/11111/11111/11111/11111/11111/11111/11111/11111/11111/11111	bpppb/ppppp/pbbbp/pbbbp/pbbbp/pbbbp/pbbbp/pbbbp/pbbbp/pbbbp/ppppp/bpppb	ppppp/ppppp/ppdpp/ppdpp/ppdpp/ppdpp/ppdpp/ppdpp/ppdpp/ppppp/ppppp/ppppp
knowledge/laboratory	0	5	2	5	5	11111/11111	xbbbx/pxxxp	ppppp/ppppp
knowledge/laboratory	0	6	2	6	6	111111/111111	xbbbbx/pxxxxp	pppppp/pppppp
knowledge/laboratory	0	7	2	7	7	1111111/1111111	xbbbbbx/pxxxxxp	ppppppp/ppppppp
knowledge/laboratory	0	8	2	8	8	11111111/11111111	xbbbbbbx/pxxxxxxp	pppppppp/pppppppp
knowledge/laboratory	0	9	2	9	9	111111111/111111111	xbbbbbbbx/pxxxxxxxp	ppppppppp/ppppppppp
knowledge/laboratory	0	5	4	10	10	11111/11111/11111/11111	pxxxp/xbbbx/xbbbx/pxxxp	ppppp/ppppp/ppppp/ppppp
knowledge/laboratory	0	6	4	12	12	111111/111111/111111/111111	pxxxxp/xbbbbx/xbbbbx/pxxxxp	pppppp/pppppp/pppppp/pppppp
knowledge/laboratory	0	7	4	14	14	1111111/1111111/1111111/1111111	pxxxxxp/xbbbbbx/xbbbbbx/pxxxxxp	ppppppp/ppppppp/ppppppp/ppppppp
knowledge/laboratory	0	8	4	16	16	11111111/11111111/11111111/11111111	pxxxxxxp/xbbbbbbx/xbbbbbbx/pxxxxxxp	pppppppp/pppppppp/pppppppp/pppppppp
knowledge/laboratory	0	9	4	18	18	111111111/111111111/111111111/111111111	pxxxxxxxp/xbbbbbbbx/xbbbbbbbx/pxxxxxxxp	ppppppppp/ppppppppp/ppppppppp/ppppppppp
knowledge/library	0	4	2	1	1	1111/1111	bbbb/ppxp	pppp/pppp
knowledge/library	0	6	2	2	2	111111/111111	bbbbbb/pppxxp	pppppp/pppppp
knowledge/library	0	8	2	3	3	11111111/11111111	bbbbbbbb/ppppxxxp	pppppppp/pppppppp
knowledge/library	0	10	2	4	4	1111111111/1111111111	bbbbbbbbbb/pppppxxxxp	pppppppppp/pppppppppp
knowledge/library	0	12	2	5	5	111111111111/111111111111	bbbbbbbbbbbb/ppppppxxxxxp	pppppppppppp/pppppppppppp
knowledge/library	0	4	4	2	2	1111/1111/1111/1111	ppxp/bbbb/bbbb/ppxp	pppp/pppp/pppp/pppp
knowledge/library	0	6	4	4	4	111111/111111/111111/111111	pppxxp/bbbbbb/bbbbbb/pppxxp	pppppp/pppppp/pppppp/pppppp
knowledge/library	0	8	4	6	6	11111111/11111111/11111111/11111111	ppppxxxp/bbbbbbbb/bbbbbbbb/ppppxxxp	pppppppp/pppppppp/pppppppp/pppppppp
knowledge/library	0	10	4	8	8	1111111111/1111111111/1111111111/1111111111	pppppxxxxp/bbbbbbbbbb/bbbbbbbbbb/pppppxxxxp	pppppppppp/pppppppppp/pppppppppp/pppppppppp
knowledge/library	0	12	4	10	10	111111111111/111111111111/111111111111/111111111111	ppppppxxxxxp/bbbbbbbbbbbb/bbbbbbbbbbbb/ppppppxxxxxp	pppppppppppp/pppppppppppp/pppppppppppp/pppppppppppp
knowledge/school	0	3	2	1	1	111/111	bxb/pxp	ppp/ppp
knowledge/school	0	4	2	2	2	1111/1111	bxxb/pxxp	pppp/pppp
knowledge/school	0	5	2	3	3	11111/11111	bxxxb/pxxxp	ppppp/ppppp
knowledge/school	0	6	2	4	4	111111/111111	bxxxxb/pxxxxp	pppppp/pppppp
knowledge/school	0	7	2	5	5	1111111/1111111	bxxxxbx/pxxxxpx	ppppppp/ppppppp
knowledge/school	0	8	2	6	6	11111111/11111111	xbxxxxbx/xpxxxxpx	pppppppp/pppppppp
knowledge/school	0	9	2	7	7	111111111/111111111	xbxxxxbxx/xpxxxxpxx	ppppppppp/ppppppppp
knowledge/school	0	10	2	8	8	1111111111/1111111111	xxbxxxxbxx/xxpxxxxpxx	pppppppppp/pppppppppp
knowledge/school	1	1	1	1	1	1	b	p
knowledge/school	1	2	1	2	2	11	bb	pp
knowledge/school	1	3	1	3	3	111	bbb	ppp
knowledge/school	1	4	1	4	4	1111	bbbb	pppp
knowledge/school	1	5	1	5	5	11111	bbbbb	ppppp
knowledge/school	1	2	2	4	4	11/11	bb/bb	pp/pp
knowledge/school	1	3	2	6	6	111/111	bbb/bbb	ppp/ppp
knowledge/school	1	4	2	8	8	1111/1111	bbbb/bbbb	pppp/pppp
knowledge/school	1	5	2	10	10	11111/11111	bbbbb/bbbbb	ppppp/ppppp
knowledge/school	1	6	2	12	12	111111/111111	bbbbbb/bbbbbb	pppppp/pppppp
knowledge/university	0	5	2	6	6	11111/11111	xbbbx/bxxxb	ppppp/ppppp
knowledge/university	0	5	4	9	9	11111/11111/11111/11111	xbbbx/xbbbx/pxxxp/bxpxb	ppppp/ppppp/ppppp/ppppp
knowledge/university	0	7	4	13	13	1111111/1111111/1111111/1111111	xbbbbbx/xbbbbbx/pxxpxxp/bxxpxxb	ppppppp/ppppppp/ppppppp/ppppppp
knowledge/university	0	9	6	21	21	111111111/111111111/111111111/111111111/111111111/111111111	xxbbbbbxx/ppbbbbbpp/xxbbbbbxx/ppxxpxxpp/bpxxpxxpb/ppxxpxxpp	ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp
knowledge/university	1	1	1	1	1	1	b	p
knowledge/university	1	2	1	2	2	11	bb	pp
knowledge/university	1	3	1	3	3	111	bbb	ppp
knowledge/university	1	4	1	4	4	1111	bbbb	pppp
knowledge/university	1	5	1	5	5	11111	bbbbb	ppppp
knowledge/university	1	2	2	4	4	11/11	bb/bb	pp/pp
knowledge/university	1	3	2	6	6	111/111	bbb/bbb	ppp/ppp
knowledge/university	1	4	2	8	8	1111/1111	bbbb/bbbb	pppp/pppp
knowledge/university	1	5	2	10	10	11111/11111	bbbbb/bbbbb	ppppp/ppppp
knowledge/university	1	6	2	12	12	111111/111111	bbbbbb/bbbbbb	pppppp/pppppp
law/court	0	5	6	1	1	11111/11111/11111/11111/11111/11111	bbbbb/rpbpr/bbbbb/bbbbb/bbbbb/ppxpp	ppppp/ppwpp/ppppp/ppppp/ppppp/ppdpp
law/court	1	4	1	2	2	1111	bxxb	pddp
law/court	1	5	1	3	3	11111	bxxxb	pdddp
law/court	1	6	1	4	4	111111	bxxxxb	pddddp
law/court	1	7	1	5	5	1111111	bxxxxxb	pdddddp
law/court	1	8	1	6	6	11111111	bxxxxxxb	pddddddp
law/court	1	9	1	7	7	111111111	bxxxxxxxb	pdddddddp
law/execution	0	3	3	1	1	111/111/111	ppp/bbb/ppp	ppp/pdp/ppp
law/execution	0	4	3	1.25	2	1111/1111/1111	pppp/bbbb/pppp	pppp/pddp/pppp
law/execution	0	5	3	1.5	3	11111/11111/11111	ppppp/bbbbb/ppppp	ppppp/pdddp/ppppp
law/execution	0	6	3	1.75	4	111111/111111/111111	pppppp/bbbbbb/pppppp	pppppp/pddddp/pppppp
law/execution	0	7	3	2	5	1111111/1111111/1111111	ppppppp/bbbbbbb/ppppppp	ppppppp/pdddddp/ppppppp
law/execution	0	8	3	2.25	6	11111111/11111111/11111111	pppppppp/bbbbbbbb/pppppppp	pppppppp/pddddddp/pppppppp
law/execution	1	3	3	1	1	111/111/111	pbp/pbp/ppp	ppp/pdp/ppp
law/execution	1	4	3	1.25	2	1111/1111/1111	pbbp/pbbp/pppp	pppp/pddp/pppp
law/execution	1	5	3	1.5	3	11111/11111/11111	pbbbp/pbbbp/ppppp	ppppp/pdddp/ppppp
law/execution	1	6	3	1.75	5	111111/111111/111111	pbbbbp/pbbbbp/pppppp	pppppp/pddddp/pppppp
law/execution	1	7	3	2	6	1111111/1111111/1111111	pbbbbbp/pbbbbbp/ppppppp	ppppppp/pdddddp/ppppppp
law/execution	2	3	3	1	1	111/111/111	pbp/pbp/ppp	ppp/pdp/ppp
law/execution	2	4	3	1.25	2	1111/1111/1111	pbbp/pbbp/pppp	pppp/pddp/pppp
law/execution	2	5	3	1.5	3	11111/11111/11111	pbbbp/pbbbp/ppppp	ppppp/pdddp/ppppp
law/execution	2	6	3	1.75	5	111111/111111/111111	pbbbbp/pbbbbp/pppppp	pppppp/pddddp/pppppp
law/execution	2	7	3	2	6	1111111/1111111/1111111	pbbbbbp/pbbbbbp/ppppppp	ppppppp/pdddddp/ppppppp
law/execution	3	3	3	1	1	111/111/111	ppp/bbb/ppp	ppp/pdp/ppp
law/execution	3	5	3	1.25	2	11111/11111/11111	ppppp/bbbbb/ppppp	ppppp/pdpdp/ppppp
law/execution	3	7	3	1.5	3	1111111/1111111/1111111	ppppppp/bbbbbbb/ppppppp	ppppppp/pdpdpdp/ppppppp
law/execution	3	9	3	1.75	5	111111111/111111111/111111111	ppppppppp/bbbbbbbbb/ppppppppp	ppppppppp/pdpdpdpdp/ppppppppp
law/execution	3	11	3	2	6	11111111111/11111111111/11111111111	ppppppppppp/bbbbbbbbbbb/ppppppppppp	ppppppppppp/pdpdpdpdpdp/ppppppppppp
law/guard	0	3	3	9	1	111/111/111	bpp/bpp/bpp	ppp/pdp/ppp
law/guard	0	3	4	12	2	111/111/111/111	bpp/bpp/bpp/bpp	ppp/pdp/pdp/ppp
law/guard	0	3	5	15	3	111/111/111/111/111	bpp/bpp/bpp/bpp/bpp	ppp/pdp/pdp/pdp/ppp
law/guard	0	3	6	18	4	111/111/111/111/111/111	bpp/bpp/bpp/bpp/bpp/bpp	ppp/pdp/pdp/pdp/pdp/ppp
law/guard	0	3	7	21	5	111/111/111/111/111/111/111	bpp/bpp/bpp/bpp/bpp/bpp/bpp	ppp/pdp/pdp/pdp/pdp/pdp/ppp
law/guard	0	3	8	24	6	111/111/111/111/111/111/111/111	bpp/bpp/bpp/bpp/bpp/bpp/bpp/bpp	ppp/pdp/pdp/pdp/pdp/pdp/pdp/ppp
law/guard	0	3	9	27	7	111/111/111/111/111/111/111/111/111	bpp/bpp/bpp/bpp/bpp/bpp/bpp/bpp/bpp	ppp/pdp/pdp/pdp/pdp/pdp/pdp/pdp/ppp
law/guard	0	3	10	30	8	111/111/111/111/111/111/111/111/111/111	bpp/bpp/bpp/bpp/bpp/bpp/bpp/bpp/bpp/bpp	ppp/pdp/pdp/pdp/pdp/pdp/pdp/pdp/pdp/ppp
law/guard	1	3	3	9	2	111/111/111	ppp/pbp/pbp	ppp/ddd/ppp
law/guard	1	5	5	25	6	11111/11111/11111/11111/11111	bbpbb/bpppb/ppbpp/bpppb/bbpbb	ppppp/pdpdp/pdddp/pdpdp/ppppp
law/guard	1	6	6	36	9	111111/111111/111111/111111/111111/111111	bbppbb/bppppb/ppbbpp/ppbbpp/bppppb/bbppbb	pppppp/ppddpp/pddddp/pddddp/ppddpp/pppppp
law/guard	1	8	8	64	18	11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111	bbbppbbb/bppppppb/bppppppb/pppbbppp/pppbbppp/bppppppb/bppppppb/bbbppbbb	pppppppp/pddddddp/pdppppdp/pdpddpdp/pdpddpdp/pdppppdp/pddddddp/pppppppp
law/police	0	3	2	1	1	111/111	xxx/xbx	ppp/wdw
law/police	0	5	2	2	2	11111/11111	xxxxx/xbxbx	ppppp/wdwdw
law/police	0	7	2	3	3	1111111/1111111	xxxxxxx/xbxbxbx	ppppppp/wdwdwdw
law/police	0	9	2	4	4	111111111/111111111	xxxxxxxxx/xbxbxbxbx	ppppppppp/wdwdwdwdw
law/police	0	11	2	5	5	11111111111/11111111111	xxxxxxxxxxx/xbxbxbxbxbx	ppppppppppp/wdwdwdwdwdw
law/police	1	3	2	1	1	111/111	xxx/xbx	ppp/wdw
law/police	1	5	2	2	2	11111/11111	xxxxx/xbxbx	ppppp/wdwdw
law/police	1	7	2	3	3	1111111/1111111	xxxxxxx/xbxbxbx	ppppppp/wdwdwdw
law/police	1	9	2	4	4	111111111/111111111	xxxxxxxxx/xbxbxbxbx	ppppppppp/wdwdwdwdw
law/police	1	11	2	5	5	11111111111/11111111111	xxxxxxxxxxx/xbxbxbxbxbx	ppppppppppp/wdwdwdwdwdw
law/police	2	3	2	1	1	111/111	xxx/xbx	ppp/wdw
law/police	2	5	2	2	2	11111/11111	xxxxx/xbxbx	ppppp/wdwdw
law/police	2	7	2	3	3	1111111/1111111	xxxxxxx/xbxbxbx	ppppppp/wdwdwdw
law/police	2	9	2	4	4	111111111/111111111	xxxxxxxxx/xbxbxbxbx	ppppppppp/wdwdwdwdw
law/police	2	11	2	5	5	11111111111/11111111111	xxxxxxxxxxx/xbxbxbxbxbx	ppppppppppp/wdwdwdwdwdw
law/police	3	3	2	1	1	111/111	xxx/xbx	ppp/wdw
law/police	3	5	2	2	2	11111/11111	xxxxx/xbxbx	ppppp/wdwdw
law/police	3	7	2	3	3	1111111/1111111	xxxxxxx/xbxbxbx	ppppppp/wdwdwdw
law/police	3	9	2	4	4	111111111/111111111	xxxxxxxxx/xbxbxbxbx	ppppppppp/wdwdwdwdw
law/police	3	11	2	5	5	11111111111/11111111111	xxxxxxxxxxx/xbxbxbxbxbx	ppppppppppp/wdwdwdwdwdw
law/police	4	1	1	1	1	1	x	w
law/police	4	2	1	2	2	11	xx	ww
law/police	4	3	1	3	3	111	xxx	www
law/police	4	4	1	4	4	1111	xxxx	wwww
law/police	4	5	1	5	5	11111	xxxxx	wwwww
law/police	4	1	2	2	2	1/1	x/x	w/w
law/police	4	2	2	4	4	11/11	xx/xx	ww/ww
law/police	4	3	2	6	6	111/111	xxx/xxx	www/www
law/police	4	4	2	8	8	1111/1111	xxxx/xxxx	wwww/wwww
law/police	4	5	2	10	10	11111/11111	xxxxx/xxxxx	wwwww/wwwww
law/prison	0	5	4	1	1	11111/11111/11111/11111	bbbbb/bpppb/brbbb/ppppp	ppppp/ppppp/dddpp/ppppp
law/stockade	0	3	1	1	1	111	ppp	ppp
law/stocks	0	3	3	1	1	111/111/111	ppp/pbp/ppp	ppp/ppp/ppp
law/stocks	0	3	4	2	2	111/111/111/111	ppp/pbp/pbp/ppp	ppp/ppp/ppp/ppp
law/stocks	0	3	5	3	3	111/111/111/111/111	ppp/pbp/pbp/pbp/ppp	ppp/ppp/ppp/ppp/ppp
law/stocks	0	3	6	4	4	111/111/111/111/111/111	ppp/pbp/pbp/pbp/pbp/ppp	ppp/ppp/ppp/ppp/ppp/ppp
law/stocks	0	3	7	5	5	111/111/111/111/111/111/111	ppp/pbp/pbp/pbp/pbp/pbp/ppp	ppp/ppp/ppp/ppp/ppp/ppp/ppp
military/artillery	0	4	3	1	1	1111/1111/1111	bbbp/pbbp/prrp	pppp/pppp/pppp
military/supply	0	7	5	2	2	1111111/1111111/1111111/1111111/1111111	bprprpb/bpbpbpb/bpbpbpb/bpppppb/bbbbbbb	ppdpdpp/ppdpdpp/ppdpdpp/ppppppp/ppppppp
military/supply	0	9	5	3	3	111111111/111111111/111111111/111111111/111111111	bprprprpb/bpbpbpbpb/bpbpbpbpb/bpppppppb/bbbbbbbbb	ppdpdpdpp/ppdpdpdpp/ppdpdpdpp/ppppppppp/ppppppppp
military/supply	0	11	5	4	4	11111111111/11111111111/11111111111/11111111111/11111111111	bprprprprpb/bpbpbpbpbpb/bpbpbpbpbpb/bpppppppppb/bbbbbbbbbbb	ppdpdpdpdpp/ppdpdpdpdpp/ppdpdpdpdpp/ppppppppppp/ppppppppppp
military/supply	0	11	8	8	8	11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111	bprprprprpb/bpbpbpbpbpb/bpbpbpbpbpb/bprprprprpb/bpbpbpbpbpb/bpbpbpbpbpb/bpppppppppb/bbbbbbbbbbb	ppdpdpdpdpp/ppdpdpdpdpp/ppdpdpdpdpp/ppdpdpdpdpp/ppdpdpdpdpp/ppdpdpdpdpp/ppppppppppp/ppppppppppp
military/training/archery	0	3	9	1	1	111/111/111/111/111/111/111/111/111	bbb/bbb/bbb/bbb/bbb/bbb/bbb/bbb/brb	ppp/ppp/ppp/ppp/ppp/ppp/ppp/ppp/ppp
military/training/archery	0	4	9	2	2	1111/1111/1111/1111/1111/1111/1111/1111/1111	bbbb/bbbb/bbbb/bbbb/bbbb/bbbb/bbbb/bbbb/brrb	pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp/pppp
military/training/archery	0	5	9	3	3	11111/11111/11111/11111/11111/11111/11111/11111/11111	bbbbb/bbbbb/bbbbb/bbbbb/bbbbb/bbbbb/bbbbb/bbbbb/brrrb	ppppp/ppppp/ppppp/ppppp/ppppp/ppppp/ppppp/ppppp/ppppp
military/training/archery	0	6	9	4	4	111111/111111/111111/111111/111111/111111/111111/111111/111111	bbbbbb/bbbbbb/bbbbbb/bbbbbb/bbbbbb/bbbbbb/bbbbbb/bbbbbb/brrrrb	pppppp/pppppp/pppppp/pppppp/pppppp/pppppp/pppppp/pppppp/pppppp
military/training/archery	0	7	9	5	5	1111111/1111111/1111111/1111111/1111111/1111111/1111111/1111111/1111111	bbbbbbb/bbbbbbb/bbbbbbb/bbbbbbb/bbbbbbb/bbbbbbb/bbbbbbb/bbbbbbb/brrrrrb	ppppppp/ppppppp/ppppppp/ppppppp/ppppppp/ppppppp/ppppppp/ppppppp/ppppppp
military/training/archery	0	8	9	6	6	11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111/11111111	bbbbbbbb/bbbbbbbb/bbbbbbbb/bbbbbbbb/bbbbbbbb/bbbbbbbb/bbbbbbbb/bbbbbbbb/brrrrrrb	pppppppp/pppppppp/pppppppp/pppppppp/pppppppp/pppppppp/pppppppp/pppppppp/pppppppp
military/training/archery	0	9	9	7	7	111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111/111111111	bbbbbbbbb/bbbbbbbbb/bbbbbbbbb/bbbbbbbbb/bbbbbbbbb/bbbbbbbbb/bbbbbbbbb/bbbbbbbbb/brrrrrrrb	ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp/ppppppppp
military/training/archery	0	10	9	8	8	1111111111/1111111111/1111111111/1111111111/1111111111/1111111111/1111111111/1111111111/1111111111	bbbbbbbbbb/bbbbbbbbbb/bbbbbbbbbb/bbbbbbbbbb/bbbbbbbbbb/bbbbbbbbbb/bbbbbbbbbb/bbbbbbbbbb/brrrrrrrrb	pppppppppp/pppppppppp/pppppppppp/pppppppppp/pppppppppp/pppppppppp/pppppppppp/pppppppppp/pppppppppp
military/training/archery	0	11	9	9	9	11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111/11111111111	bbbbbbbbbbb/bbbbbbbbbbb/bbbbbbbbbbb/bbbbbbbbbbb/bbbbbbbbbbb/bbbbbbbbbbb/bbbbbbbbbbb/bbbbbbbbbbb/brrrrrrrrrb	ppppppppppp/ppppppppppp/ppppppppppp/ppppppppppp/ppppppppppp/ppppppppppp/ppppppppppp/ppppppppppp/ppppppppppp
military/training/archery	0	12	9	10	10	111111111111/111111111111/111111111111/111111111111/111111111111/111111111111/111111111111/111111111111/111111111111	bbbbbbbbbbbb/bbbbbbbbbbbb/bbbbbbbbbbbb/bbbbbbbbbbbb/bbbbbbbbbbbb/bbbbbbbbbbbb/bbbbbbbbbbbb/bbbbbbbbbbbb/brrrrrrrrrrb	pppppppppppp/pppppppppppp/pppppppppppp/pppppppppppp/pppppppppppp/pppppppppppp/pppppppppppp/pppppppppppp/pppppppppppp
military/training/barracks	0	2	2	1	1	11/11	bb/xb	pp/pp
military/training/barracks	0	3	2	2	2	111/111	bbb/xbx	ppp/ppp
military/training/barracks	0	4	2	3	3	1111/1111	bbbb/xbxx	pppp/pppp
military/training/barracks	0	5	2	4	4	11111/11111	bbbbb/xxbxx	ppppp/ppppp
military/training/barracks	0	6	2	5	5	111111/111111	bbbbbb/xxxbxx	pppppp/pppppp
military/training/barracks	0	7	2	6	6	1111111/1111111	bbbbbbb/xxxbxxx	ppppppp/ppppppp
military/training/barracks	0	2	4	3	3	11/11/11/11	xx/bb/bb/xb	pp/pp/pp/pp
military/training/barracks	0	3	4	5	5	111/111/111/111	xxx/bbb/bbb/xbx	ppp/ppp/ppp/ppp
military/training/barracks	0	4	4	7	7	1111/1111/1111/1111	xxxx/bbbb/bbbb/xbxx	pppp/pppp/pppp/pppp
military/training/barracks	0	5	4	9	9	11111/11111/11111/11111	xxxxx/bbbbb/bbbbb/xxbxx	ppppp/ppppp/ppppp/ppppp
military/training/barracks	0	6	4	11	11	111111/111111/111111/111111	xxxxxx/bbbbbb/bbbbbb/xxxbxx	pppppp/pppppp/pppppp/pppppp
military/training/barracks	0	7	4	13	13	1111111/1111111/1111111/1111111	xxxxxxx/bbbbbbb/bbbbbbb/xxxbxxx	ppppppp/ppppppp/ppppppp/ppppppp
service/arena/grand	0	1	1	1	1	1	x	p
